Data;Otwarcie;Zamkniecie
30.11.2015;65.89;59.63
31.12.2015;59.98;54.23
31.01.2016;54.14;49.09
29.02.2016;49.21;48.82
31.03.2016;48.84;52.97
30.04.2016;53.81;56.28
31.05.2016;56.27;51.66
30.06.2016;51.60;52.28
31.07.2016;52.78;50.50
31.08.2016;51.06;53.29
30.09.2016;53.65;46.41
31.10.2016;47.00;47.15
30.11.2016;47.00;44.65
31.12.2016;44.31;54.19
31.01.2017;54.32;61.00
28.02.2017;61.20;65.42
31.03.2017;65.42;71.48
30.04.2017;72.34;74.59
31.05.2017;75.40;68.20
30.06.2017;68.19;61.75
31.07.2017;61.74;64.10
31.08.2017;64.29;66.00
30.09.2017;66.04;68.49
31.10.2017;68.50;72.33
30.11.2017;72.54;72.05
31.12.2017;71.82;79.50
31.01.2018;79.30;85.50
28.02.2018;85.75;83.35
31.03.2018;83.05;73.55
30.04.2018;72.35;71.05
31.05.2018;70.85;69.25
30.06.2018;68.20;66.90
31.07.2018;66.35;72.65
31.08.2018;73.45;68.05
30.09.2018;67.45;63.00
31.10.2018;63.00;57.75
30.11.2018;58.10;54.50
31.12.2018;55.60;53.15
31.01.2019;53.15;57.50
28.02.2019;58.00;58.70
31.03.2019;59.50;59.75
30.04.2019;60.35;58.65
31.05.2019;58.65;52.80
30.06.2019;52.70;49.82
31.07.2019;50.00;46.92
31.08.2019;46.70;40.40
30.09.2019;40.80;38.82
31.10.2019;39.14;26.96
30.11.2019;27.46;29.05
31.12.2019;29.78;28.68
31.01.2020;28.84;26.58
29.02.2020;26.82;21.00
31.03.2020;22.06;12.88
30.04.2020;12.78;15.07
31.05.2020;14.71;14.32
30.06.2020;14.60;16.15
31.07.2020;16.16;14.59
31.08.2020;14.07;13.07
30.09.2020;13.75;13.42
31.10.2020;13.42;12.86
