Data;Otwarcie;Zamkniecie
30.11.2015;28.66;26.95
31.12.2015;26.92;27.33
31.01.2016;26.60;24.65
29.02.2016;24.68;24.43
31.03.2016;24.59;27.80
30.04.2016;27.60;24.46
31.05.2016;24.40;24.76
30.06.2016;24.70;23.28
31.07.2016;23.48;23.80
31.08.2016;24.00;26.57
30.09.2016;26.68;26.11
31.10.2016;26.14;27.48
30.11.2016;26.92;25.56
31.12.2016;25.52;28.14
31.01.2017;28.05;30.67
28.02.2017;30.98;33.28
31.03.2017;33.42;32.06
30.04.2017;32.22;35.29
31.05.2017;35.30;36.51
30.06.2017;36.41;34.46
31.07.2017;34.46;36.83
31.08.2017;36.80;36.68
30.09.2017;36.53;35.33
31.10.2017;35.60;38.75
30.11.2017;38.68;42.30
31.12.2017;42.05;44.31
31.01.2018;44.10;45.66
28.02.2018;45.82;43.07
31.03.2018;42.81;40.44
30.04.2018;40.32;41.84
31.05.2018;41.84;37.54
30.06.2018;37.60;36.99
31.07.2018;36.24;41.70
31.08.2018;41.85;42.20
30.09.2018;42.20;42.90
31.10.2018;42.90;39.93
30.11.2018;40.32;40.91
31.12.2018;41.58;39.47
31.01.2019;39.50;39.51
28.02.2019;39.60;38.04
31.03.2019;38.37;38.58
30.04.2019;38.89;39.24
31.05.2019;39.24;39.30
30.06.2019;39.13;42.82
31.07.2019;43.00;40.87
31.08.2019;40.61;39.15
30.09.2019;39.00;39.32
31.10.2019;39.42;38.12
30.11.2019;38.47;36.14
31.12.2019;36.31;34.46
31.01.2020;34.90;34.21
29.02.2020;34.00;31.29
31.03.2020;32.33;22.62
30.04.2020;22.04;22.01
31.05.2020;21.69;22.03
30.06.2020;22.63;22.92
31.07.2020;22.82;21.75
31.08.2020;21.82;21.57
30.09.2020;21.07;21.21
31.10.2020;21.45;21.01
